# p,dist_p
-5.000000000000000000e+00,1.313889150690479568e-04
-4.921875000000000000e+00,2.592768095149335095e-04
-4.843750000000000000e+00,4.099399538445604174e-04
-4.765625000000000000e+00,5.859747305830692587e-04
-4.687500000000000000e+00,7.903930706943985973e-04
-4.609375000000000000e+00,1.026731356353952768e-03
-4.531250000000000000e+00,1.299178468562013633e-03
-4.453125000000000000e+00,1.612725038149100815e-03
-4.375000000000000000e+00,1.973336436949718609e-03
-4.296875000000000000e+00,2.388152547273914711e-03
-4.218750000000000000e+00,2.865717805209777591e-03
-4.140625000000000000e+00,3.416245343911366444e-03
-4.062500000000000000e+00,4.051919171368458666e-03
-3.984375000000000000e+00,4.787238099645024086e-03
-3.906250000000000000e+00,5.639404493463374968e-03
-3.828125000000000000e+00,6.628759724596491876e-03
-3.750000000000000000e+00,7.779266417370794134e-03
-3.671875000000000000e+00,9.119035084505382888e-03
-3.593750000000000000e+00,1.068088954795582898e-02
-3.515625000000000000e+00,1.250296162353657647e-02
-3.437500000000000000e+00,1.462930097708776273e-02
-3.359375000000000000e+00,1.711048094594582597e-02
-3.281250000000000000e+00,2.000417563505306126e-02
-3.203125000000000000e+00,2.337567797685518103e-02
-3.125000000000000000e+00,2.729832298279225022e-02
-3.046875000000000000e+00,3.185377545985394743e-02
-2.968750000000000000e+00,3.713213740902084059e-02
-2.890625000000000000e+00,4.323182758074631260e-02
-2.812500000000000000e+00,5.025918465932863177e-02
-2.734375000000000000e+00,5.832774668794422218e-02
-2.656250000000000000e+00,6.755716298776739959e-02
-2.578125000000000000e+00,7.807170125053944365e-02
-2.500000000000000000e+00,8.999832187091828806e-02
-2.421875000000000000e+00,1.034643039759316901e-01
-2.343750000000000000e+00,1.185944228890653124e-01
-2.265625000000000000e+00,1.355076966455097676e-01
-2.187500000000000000e+00,1.543137391772606004e-01
-2.109375000000000000e+00,1.751087792518670749e-01
-2.031250000000000000e+00,1.979714263437834521e-01
-1.953125000000000000e+00,2.229582863611888621e-01
-1.875000000000000000e+00,2.500995504504747169e-01
-1.796875000000000000e+00,2.793946977976923263e-01
-1.718750000000000000e+00,3.108084672764498402e-01
-1.640625000000000000e+00,3.442672618476990687e-01
-1.562500000000000000e+00,3.796561528164673627e-01
-1.484375000000000000e+00,4.168166476047339142e-01
-1.406250000000000000e+00,4.555453740751854164e-01
-1.328125000000000000e+00,4.955938164144412239e-01
-1.250000000000000000e+00,5.366692122842559032e-01
-1.171875000000000000e+00,5.784366888777421334e-01
-1.093750000000000000e+00,6.205226775560790387e-01
-1.015625000000000000e+00,6.625196041321358420e-01
-9.375000000000000000e-01,7.039918061751693212e-01
-8.593750000000000000e-01,7.444825817603399898e-01
-7.812500000000000000e-01,7.835222278843432253e-01
-7.031250000000000000e-01,8.206368834062789386e-01
-6.250000000000000000e-01,8.553579529241905899e-01
-5.468750000000000000e-01,8.872318564069823221e-01
-4.687500000000000000e-01,9.158298263765416447e-01
-3.906250000000000000e-01,9.407574613478303371e-01
-3.125000000000000000e-01,9.616637420368006062e-01
-2.343750000000000000e-01,9.782492260037474185e-01
-1.562500000000000000e-01,9.902731568551915720e-01
-7.812500000000000000e-02,9.975592552866952012e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.812500000000000000e-02,9.975592552866952012e-01
1.562500000000000000e-01,9.902731568551915720e-01
2.343750000000000000e-01,9.782492260037474185e-01
3.125000000000000000e-01,9.616637420368006062e-01
3.906250000000000000e-01,9.407574613478303371e-01
4.687500000000000000e-01,9.158298263765416447e-01
5.468750000000000000e-01,8.872318564069823221e-01
6.250000000000000000e-01,8.553579529241905899e-01
7.031250000000000000e-01,8.206368834062789386e-01
7.812500000000000000e-01,7.835222278843432253e-01
8.593750000000000000e-01,7.444825817603399898e-01
9.375000000000000000e-01,7.039918061751693212e-01
1.015625000000000000e+00,6.625196041321358420e-01
1.093750000000000000e+00,6.205226775560790387e-01
1.171875000000000000e+00,5.784366888777421334e-01
1.250000000000000000e+00,5.366692122842559032e-01
1.328125000000000000e+00,4.955938164144412239e-01
1.406250000000000000e+00,4.555453740751854164e-01
1.484375000000000000e+00,4.168166476047339142e-01
1.562500000000000000e+00,3.796561528164673627e-01
1.640625000000000000e+00,3.442672618476990687e-01
1.718750000000000000e+00,3.108084672764498402e-01
1.796875000000000000e+00,2.793946977976923263e-01
1.875000000000000000e+00,2.500995504504747169e-01
1.953125000000000000e+00,2.229582863611888621e-01
2.031250000000000000e+00,1.979714263437834521e-01
2.109375000000000000e+00,1.751087792518670749e-01
2.187500000000000000e+00,1.543137391772606004e-01
2.265625000000000000e+00,1.355076966455097676e-01
2.343750000000000000e+00,1.185944228890653124e-01
2.421875000000000000e+00,1.034643039759316901e-01
2.500000000000000000e+00,8.999832187091828806e-02
2.578125000000000000e+00,7.807170125053944365e-02
2.656250000000000000e+00,6.755716298776739959e-02
2.734375000000000000e+00,5.832774668794422218e-02
2.812500000000000000e+00,5.025918465932863177e-02
2.890625000000000000e+00,4.323182758074631260e-02
2.968750000000000000e+00,3.713213740902084059e-02
3.046875000000000000e+00,3.185377545985394743e-02
3.125000000000000000e+00,2.729832298279225022e-02
3.203125000000000000e+00,2.337567797685518103e-02
3.281250000000000000e+00,2.000417563505306126e-02
3.359375000000000000e+00,1.711048094594582597e-02
3.437500000000000000e+00,1.462930097708776273e-02
3.515625000000000000e+00,1.250296162353657647e-02
3.593750000000000000e+00,1.068088954795582898e-02
3.671875000000000000e+00,9.119035084505382888e-03
3.750000000000000000e+00,7.779266417370794134e-03
3.828125000000000000e+00,6.628759724596491876e-03
3.906250000000000000e+00,5.639404493463374968e-03
3.984375000000000000e+00,4.787238099645024086e-03
4.062500000000000000e+00,4.051919171368458666e-03
4.140625000000000000e+00,3.416245343911366444e-03
4.218750000000000000e+00,2.865717805209777591e-03
4.296875000000000000e+00,2.388152547273914711e-03
4.375000000000000000e+00,1.973336436949718609e-03
4.453125000000000000e+00,1.612725038149100815e-03
4.531250000000000000e+00,1.299178468562013633e-03
4.609375000000000000e+00,1.026731356353952768e-03
4.687500000000000000e+00,7.903930706943985973e-04
4.765625000000000000e+00,5.859747305830692587e-04
4.843750000000000000e+00,4.099399538445604174e-04
4.921875000000000000e+00,2.592768095149335095e-04
5.000000000000000000e+00,1.313889150690479568e-04
