# s,dist_s
-6.000000000000000000e+00,5.189945224150102499e-06
-5.906250000000000000e+00,7.300222865022311948e-06
-5.812500000000000000e+00,1.021353366349005213e-05
-5.718750000000000000e+00,1.421289318361532820e-05
-5.625000000000000000e+00,1.967231732105309132e-05
-5.531250000000000000e+00,2.708289659620249367e-05
-5.437500000000000000e+00,3.708525448572027916e-05
-5.343750000000000000e+00,5.050960556276983064e-05
-5.250000000000000000e+00,6.842475515530031902e-05
-5.156250000000000000e+00,9.219748801197848241e-05
-5.062500000000000000e+00,1.235638656389317469e-04
-4.968750000000000000e+00,1.647139742485149310e-04
-4.875000000000000000e+00,2.183916185989273888e-04
-4.781250000000000000e+00,2.880103199202398785e-04
-4.687500000000000000e+00,3.777867253168600307e-04
-4.593750000000000000e+00,4.928921473487921133e-04
-4.500000000000000000e+00,6.396224022568823813e-04
-4.406250000000000000e+00,8.255853820977180398e-04
-4.312500000000000000e+00,1.059904862900375253e-03
-4.218750000000000000e+00,1.353437907808008323e-03
-4.125000000000000000e+00,1.719001870733840448e-03
-4.031250000000000000e+00,2.171605454748651558e-03
-3.937500000000000000e+00,2.728676558210598596e-03
-3.843750000000000000e+00,3.410277796703677176e-03
-3.750000000000000000e+00,4.239298686498559239e-03
-3.656250000000000000e+00,5.241611603095843418e-03
-3.562500000000000000e+00,6.446176895204333915e-03
-3.468750000000000000e+00,7.885081068447047023e-03
-3.375000000000000000e+00,9.593490898318540738e-03
-3.281250000000000000e+00,1.160950584300464612e-02
-3.187500000000000000e+00,1.397389136101079288e-02
-3.093750000000000000e+00,1.672967684676248540e-02
-3.000000000000000000e+00,1.992160401202566419e-02
-2.906250000000000000e+00,2.359541476415569217e-02
-2.812500000000000000e+00,2.779697202218727944e-02
-2.718750000000000000e+00,3.257121247060874164e-02
-2.625000000000000000e+00,3.796093691256058333e-02
-2.531250000000000000e+00,4.400545150678491363e-02
-2.437500000000000000e+00,5.073908153173023461e-02
-2.343750000000000000e+00,5.818958810927418041e-02
-2.250000000000000000e+00,6.637652715587483154e-02
-2.156250000000000000e+00,7.530959826105898536e-02
-2.062500000000000000e+00,8.498703872435194040e-02
-1.968750000000000000e+00,9.539412409012842931e-02
-1.875000000000000000e+00,1.065018406883703056e-01
-1.781250000000000000e+00,1.182657974388305194e-01
-1.687500000000000000e+00,1.306254431005305083e-01
-1.593750000000000000e+00,1.435036509496230850e-01
-1.500000000000000000e+00,1.568067253880369438e-01
-1.406250000000000000e+00,1.704248742308430709e-01
-1.312500000000000000e+00,1.842331765843460423e-01
-1.218750000000000000e+00,1.980930596943248356e-01
-1.125000000000000000e+00,2.118542794876813740e-01
-1.031250000000000000e+00,2.253573794950969322e-01
-9.375000000000000000e-01,2.384365823121290529e-01
-8.437500000000000000e-01,2.509230477152185612e-01
-7.500000000000000000e-01,2.626484130276978690e-01
-6.562500000000000000e-01,2.734485153470752605e-01
-5.625000000000000000e-01,2.831671827418644760e-01
-4.687500000000000000e-01,2.916599733112023585e-01
-3.750000000000000000e-01,2.987977376885536107e-01
-2.812500000000000000e-01,3.044698825386486507e-01
-1.875000000000000000e-01,3.085872199498259083e-01
-9.375000000000000000e-02,3.110843001795843832e-01
0.000000000000000000e+00,3.119211425003364790e-01
9.375000000000000000e-02,3.110843001795843832e-01
1.875000000000000000e-01,3.085872199498259083e-01
2.812500000000000000e-01,3.044698825386486507e-01
3.750000000000000000e-01,2.987977376885536107e-01
4.687500000000000000e-01,2.916599733112023585e-01
5.625000000000000000e-01,2.831671827418644760e-01
6.562500000000000000e-01,2.734485153470752605e-01
7.500000000000000000e-01,2.626484130276978690e-01
8.437500000000000000e-01,2.509230477152185612e-01
9.375000000000000000e-01,2.384365823121290529e-01
1.031250000000000000e+00,2.253573794950969322e-01
1.125000000000000000e+00,2.118542794876813740e-01
1.218750000000000000e+00,1.980930596943248356e-01
1.312500000000000000e+00,1.842331765843460423e-01
1.406250000000000000e+00,1.704248742308430709e-01
1.500000000000000000e+00,1.568067253880369438e-01
1.593750000000000000e+00,1.435036509496230850e-01
1.687500000000000000e+00,1.306254431005305083e-01
1.781250000000000000e+00,1.182657974388305194e-01
1.875000000000000000e+00,1.065018406883703056e-01
1.968750000000000000e+00,9.539412409012842931e-02
2.062500000000000000e+00,8.498703872435194040e-02
2.156250000000000000e+00,7.530959826105898536e-02
2.250000000000000000e+00,6.637652715587483154e-02
2.343750000000000000e+00,5.818958810927418041e-02
2.437500000000000000e+00,5.073908153173023461e-02
2.531250000000000000e+00,4.400545150678491363e-02
2.625000000000000000e+00,3.796093691256058333e-02
2.718750000000000000e+00,3.257121247060874164e-02
2.812500000000000000e+00,2.779697202218727944e-02
2.906250000000000000e+00,2.359541476415569217e-02
3.000000000000000000e+00,1.992160401202566419e-02
3.093750000000000000e+00,1.672967684676248540e-02
3.187500000000000000e+00,1.397389136101079288e-02
3.281250000000000000e+00,1.160950584300464612e-02
3.375000000000000000e+00,9.593490898318540738e-03
3.468750000000000000e+00,7.885081068447047023e-03
3.562500000000000000e+00,6.446176895204333915e-03
3.656250000000000000e+00,5.241611603095843418e-03
3.750000000000000000e+00,4.239298686498559239e-03
3.843750000000000000e+00,3.410277796703677176e-03
3.937500000000000000e+00,2.728676558210598596e-03
4.031250000000000000e+00,2.171605454748651558e-03
4.125000000000000000e+00,1.719001870733840448e-03
4.218750000000000000e+00,1.353437907808008323e-03
4.312500000000000000e+00,1.059904862900375253e-03
4.406250000000000000e+00,8.255853820977180398e-04
4.500000000000000000e+00,6.396224022568823813e-04
4.593750000000000000e+00,4.928921473487921133e-04
4.687500000000000000e+00,3.777867253168600307e-04
4.781250000000000000e+00,2.880103199202398785e-04
4.875000000000000000e+00,2.183916185989273888e-04
4.968750000000000000e+00,1.647139742485149310e-04
5.062500000000000000e+00,1.235638656389317469e-04
5.156250000000000000e+00,9.219748801197848241e-05
5.250000000000000000e+00,6.842475515530031902e-05
5.343750000000000000e+00,5.050960556276983064e-05
5.437500000000000000e+00,3.708525448572027916e-05
5.531250000000000000e+00,2.708289659620249367e-05
5.625000000000000000e+00,1.967231732105309132e-05
5.718750000000000000e+00,1.421289318361532820e-05
5.812500000000000000e+00,1.021353366349005213e-05
5.906250000000000000e+00,7.300222865022311948e-06
6.000000000000000000e+00,5.189945224150102499e-06
