# p,dist_p
-5.000000000000000000e+00,-1.205403459105976183e-04
-4.921875000000000000e+00,-1.264865813371783554e-04
-4.843750000000000000e+00,-1.301778722316987436e-04
-4.765625000000000000e+00,-1.306959861253308153e-04
-4.687500000000000000e+00,-1.269467194333143145e-04
-4.609375000000000000e+00,-1.176072377739104113e-04
-4.531250000000000000e+00,-1.010507589484996305e-04
-4.453125000000000000e+00,-7.524410786772725568e-05
-4.375000000000000000e+00,-3.761361933293447257e-05
-4.296875000000000000e+00,1.512516568529312377e-05
-4.218750000000000000e+00,8.717857927220684644e-05
-4.140625000000000000e+00,1.839312402084139486e-04
-4.062500000000000000e+00,3.122522950986909851e-04
-3.984375000000000000e+00,4.808558022278870692e-04
-3.906250000000000000e+00,7.007192013182179935e-04
-3.828125000000000000e+00,9.855631403522142897e-04
-3.750000000000000000e+00,1.352394835171057130e-03
-3.671875000000000000e+00,1.822115486428466102e-03
-3.593750000000000000e+00,2.420189942511467851e-03
-3.515625000000000000e+00,3.177373664101059564e-03
-3.437500000000000000e+00,4.130488036334499513e-03
-3.359375000000000000e+00,5.323230156090586612e-03
-3.281250000000000000e+00,6.806997425411555336e-03
-3.203125000000000000e+00,8.641700713665247113e-03
-3.125000000000000000e+00,1.089653270236912858e-02
-3.046875000000000000e+00,1.365065058075238050e-02
-2.968750000000000000e+00,1.699372489291580898e-02
-2.890625000000000000e+00,2.102629951276049902e-02
-2.812500000000000000e+00,2.585990198172949742e-02
-2.734375000000000000e+00,3.161683938695485779e-02
-2.656250000000000000e+00,3.842961321734304769e-02
-2.578125000000000000e+00,4.643988784685901955e-02
-2.500000000000000000e+00,5.579695205286401560e-02
-2.421875000000000000e+00,6.665562179260121900e-02
-2.343750000000000000e+00,7.917354570700424476e-02
-2.265625000000000000e+00,9.350789268455762804e-02
-2.187500000000000000e+00,1.098114232477781227e-01
-2.109375000000000000e+00,1.282279731875646811e-01
-2.031250000000000000e+00,1.488874081165981744e-01
-1.953125000000000000e+00,1.719001404580468573e-01
-1.875000000000000000e+00,1.973513345131925889e-01
-1.796875000000000000e+00,2.252949590375457056e-01
-1.718750000000000000e+00,2.557478783218817275e-01
-1.640625000000000000e+00,2.886842000711561385e-01
-1.562500000000000000e+00,3.240301192824031618e-01
-1.484375000000000000e+00,3.616595097866631692e-01
-1.406250000000000000e+00,4.013905172907673569e-01
-1.328125000000000000e+00,4.429833981416072541e-01
-1.250000000000000000e+00,4.861398256524298578e-01
-1.171875000000000000e+00,5.305038503269645656e-01
-1.093750000000000000e+00,5.756646520782018328e-01
-1.015625000000000000e+00,6.211611627464423968e-01
-9.375000000000000000e-01,6.664885678647369804e-01
-8.593750000000000000e-01,7.111066204487230813e-01
-7.812500000000000000e-01,7.544496200076163950e-01
-7.031250000000000000e-01,7.959378308840254768e-01
-6.250000000000000000e-01,8.349900396172245109e-01
-5.468750000000000000e-01,8.710368855102958996e-01
-4.687500000000000000e-01,9.035345459588151051e-01
-3.906250000000000000e-01,9.319783218603275854e-01
-3.125000000000000000e-01,9.559156513111393139e-01
-2.343750000000000000e-01,9.749580835864262163e-01
-1.562500000000000000e-01,9.887917707458786509e-01
-7.812500000000000000e-02,9.971860805558117047e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.812500000000000000e-02,9.971860805558117047e-01
1.562500000000000000e-01,9.887917707458786509e-01
2.343750000000000000e-01,9.749580835864262163e-01
3.125000000000000000e-01,9.559156513111393139e-01
3.906250000000000000e-01,9.319783218603275854e-01
4.687500000000000000e-01,9.035345459588151051e-01
5.468750000000000000e-01,8.710368855102958996e-01
6.250000000000000000e-01,8.349900396172245109e-01
7.031250000000000000e-01,7.959378308840254768e-01
7.812500000000000000e-01,7.544496200076163950e-01
8.593750000000000000e-01,7.111066204487230813e-01
9.375000000000000000e-01,6.664885678647369804e-01
1.015625000000000000e+00,6.211611627464423968e-01
1.093750000000000000e+00,5.756646520782018328e-01
1.171875000000000000e+00,5.305038503269645656e-01
1.250000000000000000e+00,4.861398256524298578e-01
1.328125000000000000e+00,4.429833981416072541e-01
1.406250000000000000e+00,4.013905172907673569e-01
1.484375000000000000e+00,3.616595097866631692e-01
1.562500000000000000e+00,3.240301192824031618e-01
1.640625000000000000e+00,2.886842000711561385e-01
1.718750000000000000e+00,2.557478783218817275e-01
1.796875000000000000e+00,2.252949590375457056e-01
1.875000000000000000e+00,1.973513345131925889e-01
1.953125000000000000e+00,1.719001404580468573e-01
