# q,dist_q
-4.961240310077519311e+00,3.870010836030334081e-06
-4.883720930232557933e+00,2.580007224020222721e-06
-4.806201550387596555e+00,3.870010836030334081e-06
-4.728682170542635177e+00,7.740021672060756253e-06
-4.651162790697674687e+00,9.030025284070779522e-06
-4.573643410852713309e+00,1.032002889608089088e-05
-4.496124031007751931e+00,1.806005056814155904e-05
-4.418604651162790553e+00,3.096008668824267265e-05
-4.341085271317829175e+00,5.934016615246512258e-05
-4.263565891472868685e+00,7.095019866055693458e-05
-4.186046511627907307e+00,1.380303864850818986e-04
-4.108527131782945929e+00,1.896305309654863530e-04
-4.031007751937984551e+00,2.231706248777492823e-04
-3.953488372093023173e+00,2.876708054782548029e-04
-3.875968992248061795e+00,4.140911594552457230e-04
-3.798449612403100417e+00,5.508315423283207052e-04
-3.720930232558139927e+00,7.378820660697879130e-04
-3.643410852713178549e+00,9.636326981715531963e-04
-3.565891472868217171e+00,1.230663445857646272e-03
-3.488372093023255793e+00,1.529944283843992026e-03
-3.410852713178294415e+00,1.829225121830337997e-03
-3.333333333333333037e+00,2.164626060952978999e-03
-3.255813953488372103e+00,2.809627866958022604e-03
-3.178294573643411169e+00,3.752620507337435865e-03
-3.100775193798449791e+00,4.716253205508966727e-03
-3.023255813953488413e+00,5.660535849500368880e-03
-2.945736434108527035e+00,6.914419360374197271e-03
-2.868217054263565657e+00,8.596584070435430922e-03
-2.790697674418604723e+00,1.051223943427039703e-02
-2.713178294573643345e+00,1.237113463917696721e-02
-2.635658914728682412e+00,1.525300270840764492e-02
-2.558139534883721034e+00,1.833224133027569133e-02
-2.480620155038759655e+00,2.209518186650918578e-02
-2.403100775193798277e+00,2.657923442185648397e-02
-2.325581395348837344e+00,3.099620678937895293e-02
-2.248062015503875966e+00,3.697666353465783179e-02
-2.170542635658915032e+00,4.295067026187690540e-02
-2.093023255813953654e+00,4.973866926827386070e-02
-2.015503875968992276e+00,5.769541154715222830e-02
-1.937984496124030898e+00,6.598497475792920730e-02
-1.860465116279069742e+00,7.602507287020433824e-02
-1.782945736434108586e+00,8.626125153150412950e-02
-1.705426356589147208e+00,9.678381099467060766e-02
-1.627906976744186052e+00,1.099869979635947348e-01
-1.550387596899224896e+00,1.236210461389289778e-01
-1.472868217054263518e+00,1.387102183886112505e-01
-1.395348837209302362e+00,1.531221387419891000e-01
-1.317829457364341206e+00,1.699012157234037201e-01
-1.240310077519379828e+00,1.862829715923201290e-01
-1.162790697674418672e+00,2.032787691805545138e-01
-1.085271317829457516e+00,2.198204854973589972e-01
-1.007751937984496138e+00,2.374574148807612473e-01
-9.302325581395347598e-01,2.548105434695212557e-01
-8.527131782945733818e-01,2.727596537270299826e-01
-7.751937984496124479e-01,2.886563682378338602e-01
-6.976744186046515139e-01,3.040396613110511459e-01
-6.201550387596901359e-01,3.177575597211666492e-01
-5.426356589147287579e-01,3.316689586730837136e-01
-4.651162790697673799e-01,3.459067285388393032e-01
-3.875968992248060019e-01,3.574354908193737024e-01
-3.100775193798450680e-01,3.676149093217496722e-01
-2.325581395348841340e-01,3.734418556371951192e-01
-1.550387596899227560e-01,3.801795445027239539e-01
-7.751937984496137801e-02,3.836354641792990572e-01
0.000000000000000000e+00,3.847822773903760152e-01
7.751937984496137801e-02,3.834871137639178640e-01
1.550387596899227560e-01,3.822770903758523908e-01
2.325581395348836899e-01,3.757870822038338332e-01
3.100775193798446239e-01,3.684766317345681830e-01
3.875968992248060019e-01,3.596994471584513686e-01
4.651162790697673799e-01,3.484802857447995006e-01
5.426356589147287579e-01,3.359762807335854307e-01
6.201550387596901359e-01,3.235458059282560472e-01
6.976744186046510698e-01,3.081367127827987495e-01
7.751937984496120038e-01,2.941930637405779647e-01
8.527131782945733818e-01,2.772424162787651136e-01
9.302325581395347598e-01,2.607664901461719253e-01
1.007751937984496138e+00,2.434120715537999302e-01
1.085271317829457516e+00,2.257467620909334727e-01
1.162790697674418894e+00,2.086490542173514429e-01
1.240310077519379828e+00,1.896976111533130727e-01
1.317829457364340762e+00,1.728566139985188987e-01
1.395348837209302140e+00,1.573456105677092931e-01
1.472868217054263518e+00,1.424692889140087293e-01
1.550387596899224896e+00,1.274549368738230049e-01
1.627906976744186274e+00,1.142672299482436482e-01
1.705426356589147208e+00,1.012033633694184170e-01
1.782945736434108142e+00,8.899863919618958286e-02
1.860465116279069520e+00,7.749696699150743218e-02
1.937984496124030898e+00,6.799351038182895046e-02
2.015503875968992276e+00,5.917375568651581791e-02
2.093023255813953654e+00,5.070488197366943700e-02
2.170542635658914588e+00,4.333509133825616533e-02
2.248062015503875521e+00,3.687991326375707202e-02
2.325581395348836899e+00,3.137030783686188540e-02
2.403100775193798277e+00,2.673145484807352631e-02
2.480620155038759655e+00,2.207067179788099395e-02
2.558139534883721034e+00,1.835159138445584259e-02
2.635658914728682412e+00,1.518463251697102154e-02
2.713178294573643345e+00,1.258785524599481155e-02
2.790697674418604279e+00,1.025939872631641617e-02
2.868217054263565657e+00,8.410823550305927127e-03
2.945736434108527035e+00,7.080829826323501233e-03
3.023255813953488413e+00,5.429625202950558692e-03
3.100775193798449791e+00,4.330542125517943854e-03
3.178294573643411169e+00,3.604270091956250904e-03
3.255813953488372547e+00,2.885738080066618805e-03
3.333333333333333925e+00,2.245896288509604058e-03
3.410852713178294415e+00,1.669264673941122257e-03
3.488372093023254905e+00,1.345473767326546078e-03
3.565891472868216283e+00,1.114563120776736107e-03
3.643410852713177661e+00,8.010922430582791175e-04
3.720930232558139039e+00,6.088817048687725350e-04
3.798449612403100417e+00,4.669813075476603463e-04
3.875968992248061795e+00,3.483009752427300605e-04
3.953488372093023173e+00,2.334906537738301732e-04
4.031007751937984551e+00,1.793105020694054621e-04
4.108527131782945929e+00,1.483504153811627895e-04
4.186046511627907307e+00,1.044902925728190100e-04
4.263565891472868685e+00,9.030025284070778845e-05
4.341085271317830063e+00,6.450018060050556124e-05
4.418604651162790553e+00,4.515012642035493099e-05
4.496124031007751043e+00,2.580007224020222721e-05
4.573643410852712421e+00,2.193006140417189313e-05
4.651162790697673799e+00,2.451006862819211585e-05
4.728682170542635177e+00,1.548004334412133632e-05
4.806201550387596555e+00,2.322006501618200449e-05
4.883720930232557933e+00,1.290003612010111360e-05
4.961240310077519311e+00,6.450018060050556802e-06
