# s,dist_s
-6.000000000000000000e+00,3.393337126971150269e-05
-5.906250000000000000e+00,4.489345511475278797e-05
-5.812500000000000000e+00,5.913230187193732769e-05
-5.718750000000000000e+00,7.754472702060141026e-05
-5.625000000000000000e+00,1.012431128334061853e-04
-5.531250000000000000e+00,1.316025909409390096e-04
-5.437500000000000000e+00,1.703135186673790456e-04
-5.343750000000000000e+00,2.194418901694353036e-04
-5.250000000000000000e+00,2.814982382918196878e-04
-5.156250000000000000e+00,3.595154502288146008e-04
-5.062500000000000000e+00,4.571357314108028609e-04
-4.968750000000000000e+00,5.787066997748339025e-04
-4.875000000000000000e+00,7.293862699273140609e-04
-4.781250000000000000e+00,9.152555884416776729e-04
-4.687500000000000000e+00,1.143438804734925708e-03
-4.593750000000000000e+00,1.422227906806266227e-03
-4.500000000000000000e+00,1.761210221680208944e-03
-4.406250000000000000e+00,2.171395485468967119e-03
-4.312500000000000000e+00,2.665338641794461061e-03
-4.218750000000000000e+00,3.257253750173803603e-03
-4.125000000000000000e+00,3.963113604596136055e-03
-4.031250000000000000e+00,4.800728910177450535e-03
-3.937500000000000000e+00,5.789800182051257210e-03
-3.843750000000000000e+00,6.951934960753910347e-03
-3.750000000000000000e+00,8.310622531999673629e-03
-3.656250000000000000e+00,9.891158148446524759e-03
-3.562500000000000000e+00,1.172050883000803900e-02
-3.468750000000000000e+00,1.382711321861392235e-02
-3.375000000000000000e+00,1.624060872905583666e-02
-3.281250000000000000e+00,1.899148040708810783e-02
-3.187500000000000000e+00,2.211062750449294123e-02
-3.093750000000000000e+00,2.562884581777578885e-02
-3.000000000000000000e+00,2.957622630277966305e-02
-2.906250000000000000e+00,3.398147334000795744e-02
-2.812500000000000000e+00,3.887114922890008012e-02
-2.718750000000000000e+00,4.426885495252100289e-02
-2.625000000000000000e+00,5.019436087082088105e-02
-2.531250000000000000e+00,5.666270464097600268e-02
-2.437500000000000000e+00,6.368327717715729919e-02
-2.343750000000000000e+00,7.125892068360112352e-02
-2.250000000000000000e+00,7.938506554901114676e-02
-2.156250000000000000e+00,8.804893500046852284e-02
-2.062500000000000000e+00,9.722884771180692609e-02
-1.968750000000000000e+00,1.068936488922780231e-01
-1.875000000000000000e+00,1.170022996203886750e-01
-1.781250000000000000e+00,1.275036522452336896e-01
-1.687500000000000000e+00,1.383364365083778746e-01
-1.593750000000000000e+00,1.494294766499540683e-01
-1.500000000000000000e+00,1.607021542163672989e-01
-1.406250000000000000e+00,1.720651247059592215e-01
-1.312500000000000000e+00,1.834212887534983627e-01
-1.218750000000000000e+00,1.946670104989153272e-01
-1.125000000000000000e+00,2.056935673917187068e-01
-1.031250000000000000e+00,2.163888072679314711e-01
-9.375000000000000000e-01,2.266389804424245036e-01
-8.437500000000000000e-01,2.363307071354096289e-01
-7.500000000000000000e-01,2.453530341379323854e-01
-6.562500000000000000e-01,2.535995295316217923e-01
-5.625000000000000000e-01,2.609703607836948991e-01
-4.687500000000000000e-01,2.673742998516626668e-01
-3.750000000000000000e-01,2.727305991940071062e-01
-2.812500000000000000e-01,2.769706848525035348e-01
-1.875000000000000000e-01,2.800396170207478108e-01
-9.375000000000000000e-02,2.818972746250806294e-01
0.000000000000000000e+00,2.825192282164215030e-01
9.375000000000000000e-02,2.818972746250806294e-01
1.875000000000000000e-01,2.800396170207478108e-01
2.812500000000000000e-01,2.769706848525035348e-01
3.750000000000000000e-01,2.727305991940071062e-01
4.687500000000000000e-01,2.673742998516626668e-01
5.625000000000000000e-01,2.609703607836948991e-01
6.562500000000000000e-01,2.535995295316217923e-01
7.500000000000000000e-01,2.453530341379323854e-01
8.437500000000000000e-01,2.363307071354096289e-01
9.375000000000000000e-01,2.266389804424245036e-01
1.031250000000000000e+00,2.163888072679314711e-01
1.125000000000000000e+00,2.056935673917187068e-01
1.218750000000000000e+00,1.946670104989153272e-01
1.312500000000000000e+00,1.834212887534983627e-01
1.406250000000000000e+00,1.720651247059592215e-01
1.500000000000000000e+00,1.607021542163672989e-01
1.593750000000000000e+00,1.494294766499540683e-01
1.687500000000000000e+00,1.383364365083778746e-01
1.781250000000000000e+00,1.275036522452336896e-01
1.875000000000000000e+00,1.170022996203886750e-01
1.968750000000000000e+00,1.068936488922780231e-01
2.062500000000000000e+00,9.722884771180692609e-02
2.156250000000000000e+00,8.804893500046852284e-02
2.250000000000000000e+00,7.938506554901114676e-02
2.343750000000000000e+00,7.125892068360112352e-02
2.437500000000000000e+00,6.368327717715729919e-02
2.531250000000000000e+00,5.666270464097600268e-02
2.625000000000000000e+00,5.019436087082088105e-02
2.718750000000000000e+00,4.426885495252100289e-02
2.812500000000000000e+00,3.887114922890008012e-02
2.906250000000000000e+00,3.398147334000795744e-02
3.000000000000000000e+00,2.957622630277966305e-02
3.093750000000000000e+00,2.562884581777578885e-02
3.187500000000000000e+00,2.211062750449294123e-02
3.281250000000000000e+00,1.899148040708810783e-02
3.375000000000000000e+00,1.624060872905583666e-02
3.468750000000000000e+00,1.382711321861392235e-02
3.562500000000000000e+00,1.172050883000803900e-02
3.656250000000000000e+00,9.891158148446524759e-03
3.750000000000000000e+00,8.310622531999673629e-03
3.843750000000000000e+00,6.951934960753910347e-03
3.937500000000000000e+00,5.789800182051257210e-03
4.031250000000000000e+00,4.800728910177450535e-03
4.125000000000000000e+00,3.963113604596136055e-03
4.218750000000000000e+00,3.257253750173803603e-03
4.312500000000000000e+00,2.665338641794461061e-03
4.406250000000000000e+00,2.171395485468967119e-03
4.500000000000000000e+00,1.761210221680208944e-03
4.593750000000000000e+00,1.422227906806266227e-03
4.687500000000000000e+00,1.143438804734925708e-03
4.781250000000000000e+00,9.152555884416776729e-04
4.875000000000000000e+00,7.293862699273140609e-04
4.968750000000000000e+00,5.787066997748339025e-04
5.062500000000000000e+00,4.571357314108028609e-04
5.156250000000000000e+00,3.595154502288146008e-04
5.250000000000000000e+00,2.814982382918196878e-04
5.343750000000000000e+00,2.194418901694353036e-04
5.437500000000000000e+00,1.703135186673790456e-04
5.531250000000000000e+00,1.316025909409390096e-04
5.625000000000000000e+00,1.012431128334061853e-04
5.718750000000000000e+00,7.754472702060141026e-05
5.812500000000000000e+00,5.913230187193732769e-05
5.906250000000000000e+00,4.489345511475278797e-05
6.000000000000000000e+00,3.393337126971150269e-05
