# q,dist_q
-3.961240310077519311e+00,1.607774422110464630e-05
-3.883720930232557933e+00,2.630903599817138817e-05
-3.806201550387596999e+00,3.069387533119977498e-05
-3.728682170542635621e+00,6.431097688441858519e-05
-3.651162790697674687e+00,1.271603406578283846e-04
-3.573643410852713309e+00,1.768551864321510889e-04
-3.496124031007751931e+00,2.265500322064745251e-04
-3.418604651162790553e+00,4.048668317496351859e-04
-3.341085271317829175e+00,5.744139526267419936e-04
-3.263565891472868241e+00,7.848862406121085182e-04
-3.186046511627907307e+00,1.116672416811274491e-03
-3.108527131782945929e+00,1.669162172772864017e-03
-3.031007751937984551e+00,2.418969698720744438e-03
-2.953488372093023173e+00,3.116159152672282225e-03
-2.875968992248061795e+00,4.305912225034026417e-03
-2.798449612403100417e+00,5.419661415623305833e-03
-2.720930232558139927e+00,6.933892598629170199e-03
-2.643410852713178549e+00,9.154082914252580777e-03
-2.565891472868217171e+00,1.139035097409713676e-02
-2.488372093023255793e+00,1.437788817300058100e-02
-2.410852713178294415e+00,1.762266927944169947e-02
-2.333333333333333037e+00,2.109984687053345284e-02
-2.255813953488372103e+00,2.619210694929047581e-02
-2.178294573643411169e+00,3.120543992005328851e-02
-2.100775193798449791e+00,3.746260564828483852e-02
-2.023255813953488413e+00,4.377092783540188770e-02
-1.945736434108527035e+00,5.087729078113014530e-02
-1.868217054263565879e+00,5.877730964613690073e-02
-1.790697674418604723e+00,6.772092027240377010e-02
-1.713178294573643345e+00,7.657829572512142580e-02
-1.635658914728682189e+00,8.634333291977647207e-02
-1.558139534883721034e+00,9.636853724819022249e-02
-1.480620155038759655e+00,1.063981264159375162e-01
-1.403100775193798500e+00,1.166805746518901066e-01
-1.325581395348837344e+00,1.277464475153424761e-01
-1.248062015503875966e+00,1.369853039900336134e-01
-1.170542635658914810e+00,1.487790601827702064e-01
-1.093023255813953654e+00,1.595189933224672729e-01
-1.015503875968992276e+00,1.691700246944630726e-01
-9.379844961240308976e-01,1.786675866898028986e-01
-8.604651162790697416e-01,1.882426141800273012e-01
-7.829457364341085857e-01,1.966045027881116458e-01
-7.054263565891472076e-01,2.046652990953291007e-01
-6.279069767441860517e-01,2.128050225105422855e-01
-5.503875968992248957e-01,2.184132320174845820e-01
-4.728682170542635177e-01,2.240725979833134152e-01
-3.953488372093023617e-01,2.290859309540773658e-01
-3.178294573643412058e-01,2.341284961870588599e-01
-2.403100775193798277e-01,2.364188439320107915e-01
-1.627906976744186718e-01,2.390336697876081495e-01
-8.527131782945751581e-02,2.409396132843631966e-01
-7.751937984496137801e-03,2.428455567811196314e-01
6.976744186046524021e-02,2.437488336837234648e-01
1.472868217054266182e-01,2.449473564347512677e-01
2.248062015503875521e-01,2.437415256181712231e-01
3.023255813953484861e-01,2.431466490819875759e-01
3.798449612403098641e-01,2.404572809577300574e-01
4.573643410852712421e-01,2.382297825765515575e-01
5.348837209302326201e-01,2.355199518687399185e-01
6.124031007751939981e-01,2.306688579532993610e-01
6.899224806201549320e-01,2.261247027911733876e-01
7.674418604651158660e-01,2.217486331368082875e-01
8.449612403100772440e-01,2.163406646260730704e-01
9.224806201550386220e-01,2.113287932684214665e-01
1.000000000000000000e+00,2.077799966348903571e-01
1.077519379844961378e+00,2.029522885292259493e-01
1.155038759689922756e+00,1.996651206425655578e-01
1.232558139534883690e+00,1.949134164186758778e-01
1.310077519379844624e+00,1.894060582163897832e-01
1.387596899224806002e+00,1.834368302710269460e-01
1.465116279069767380e+00,1.770159638743621366e-01
1.542635658914728758e+00,1.722423354538050733e-01
1.620155038759690136e+00,1.659924777911283844e-01
1.697674418604651070e+00,1.605815860541729978e-01
1.775193798449612004e+00,1.548886029867891090e-01
1.852713178294573382e+00,1.482411865579178478e-01
1.930232558139534760e+00,1.442582908304169131e-01
2.007751937984496138e+00,1.400546915231535572e-01
2.085271317829457516e+00,1.347446510908560102e-01
2.162790697674418894e+00,1.308114502091294040e-01
2.240310077519379828e+00,1.266122357412005073e-01
