# p,dist_p
-5.000000000000000000e+00,4.830632381981163348e-04
-4.921875000000000000e+00,5.079036956293983551e-04
-4.843750000000000000e+00,5.332187069329065443e-04
-4.765625000000000000e+00,5.602828699634923582e-04
-4.687500000000000000e+00,5.907522650502178285e-04
-4.609375000000000000e+00,6.267436490553814077e-04
-4.531250000000000000e+00,6.709324976826788745e-04
-4.453125000000000000e+00,7.266743786099073843e-04
-4.375000000000000000e+00,7.981546687835065768e-04
-4.296875000000000000e+00,8.905720418209521483e-04
-4.218750000000000000e+00,1.010361391927925429e-03
-4.140625000000000000e+00,1.165461869719882498e-03
-4.062500000000000000e+00,1.365635418491464165e-03
-3.984375000000000000e+00,1.622840548358612384e-03
-3.906250000000000000e+00,1.951664999549726498e-03
-3.828125000000000000e+00,2.369819354994029403e-03
-3.750000000000000000e+00,2.898691501587481734e-03
-3.671875000000000000e+00,3.563959055892795824e-03
-3.593750000000000000e+00,4.396253429349784164e-03
-3.515625000000000000e+00,5.431865103907810438e-03
-3.437500000000000000e+00,6.713474952137546414e-03
-3.359375000000000000e+00,8.290891143663745716e-03
-3.281250000000000000e+00,1.022176546443017212e-02
-3.203125000000000000e+00,1.257225693038733702e-02
-3.125000000000000000e+00,1.541760466081282602e-02
-3.046875000000000000e+00,1.884256641062184365e-02
-2.968750000000000000e+00,2.294167432590156833e-02
-2.890625000000000000e+00,2.781925580970341302e-02
-2.812500000000000000e+00,3.358916532296911395e-02
-2.734375000000000000e+00,4.037417296256178012e-02
-2.656250000000000000e+00,4.830495819795870005e-02
-2.578125000000000000e+00,5.751866260029046829e-02
-2.500000000000000000e+00,6.815696406402646512e-02
-2.421875000000000000e+00,8.036364708103510557e-02
-2.343750000000000000e+00,9.428165909980180948e-02
-2.265625000000000000e+00,1.100496617230782292e-01
-2.187500000000000000e+00,1.277981070895488902e-01
-2.109375000000000000e+00,1.476448936516112087e-01
-2.031250000000000000e+00,1.696906808820835555e-01
-1.953125000000000000e+00,1.940139681890707402e-01
-1.875000000000000000e+00,2.206660682825645203e-01
-1.796875000000000000e+00,2.496661280765700708e-01
-1.718750000000000000e+00,2.809963695102100090e-01
-1.640625000000000000e+00,3.145977370124541928e-01
-1.562500000000000000e+00,3.503661463811763577e-01
-1.484375000000000000e+00,3.881495304308778538e-01
-1.406250000000000000e+00,4.277458689752415832e-01
-1.328125000000000000e+00,4.689023739818805048e-01
-1.250000000000000000e+00,5.113159749097933027e-01
-1.171875000000000000e+00,5.546352146218824775e-01
-1.093750000000000000e+00,5.984636236554683464e-01
-1.015625000000000000e+00,6.423645913278176467e-01
-9.375000000000000000e-01,6.858676979113753625e-01
-8.593750000000000000e-01,7.284764150991687170e-01
-7.812500000000000000e-01,7.696770246727747677e-01
-7.031250000000000000e-01,8.089485503571723912e-01
-6.250000000000000000e-01,8.457734480303212843e-01
-5.468750000000000000e-01,8.796487573884870237e-01
-4.687500000000000000e-01,9.100973862408003878e-01
-3.906250000000000000e-01,9.366791788109599670e-01
-3.125000000000000000e-01,9.590014132239566003e-01
-2.343750000000000000e-01,9.767283815798122326e-01
-1.562500000000000000e-01,9.895897287864598990e-01
-7.812500000000000000e-02,9.973872630239094539e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.812500000000000000e-02,9.973872630239094539e-01
1.562500000000000000e-01,9.895897287864598990e-01
2.343750000000000000e-01,9.767283815798122326e-01
3.125000000000000000e-01,9.590014132239566003e-01
3.906250000000000000e-01,9.366791788109599670e-01
4.687500000000000000e-01,9.100973862408003878e-01
5.468750000000000000e-01,8.796487573884870237e-01
6.250000000000000000e-01,8.457734480303212843e-01
7.031250000000000000e-01,8.089485503571723912e-01
7.812500000000000000e-01,7.696770246727747677e-01
8.593750000000000000e-01,7.284764150991687170e-01
9.375000000000000000e-01,6.858676979113753625e-01
1.015625000000000000e+00,6.423645913278176467e-01
1.093750000000000000e+00,5.984636236554683464e-01
1.171875000000000000e+00,5.546352146218824775e-01
1.250000000000000000e+00,5.113159749097933027e-01
1.328125000000000000e+00,4.689023739818805048e-01
1.406250000000000000e+00,4.277458689752415832e-01
1.484375000000000000e+00,3.881495304308778538e-01
1.562500000000000000e+00,3.503661463811763577e-01
1.640625000000000000e+00,3.145977370124541928e-01
1.718750000000000000e+00,2.809963695102100090e-01
1.796875000000000000e+00,2.496661280765700708e-01
1.875000000000000000e+00,2.206660682825645203e-01
1.953125000000000000e+00,1.940139681890707402e-01
2.031250000000000000e+00,1.696906808820835555e-01
2.109375000000000000e+00,1.476448936516112087e-01
2.187500000000000000e+00,1.277981070895488902e-01
2.265625000000000000e+00,1.100496617230782292e-01
2.343750000000000000e+00,9.428165909980180948e-02
2.421875000000000000e+00,8.036364708103510557e-02
2.500000000000000000e+00,6.815696406402646512e-02
2.578125000000000000e+00,5.751866260029046829e-02
2.656250000000000000e+00,4.830495819795870005e-02
2.734375000000000000e+00,4.037417296256178012e-02
2.812500000000000000e+00,3.358916532296911395e-02
2.890625000000000000e+00,2.781925580970341302e-02
2.968750000000000000e+00,2.294167432590156833e-02
3.046875000000000000e+00,1.884256641062184365e-02
3.125000000000000000e+00,1.541760466081282602e-02
3.203125000000000000e+00,1.257225693038733702e-02
3.281250000000000000e+00,1.022176546443017212e-02
3.359375000000000000e+00,8.290891143663745716e-03
3.437500000000000000e+00,6.713474952137546414e-03
3.515625000000000000e+00,5.431865103907810438e-03
3.593750000000000000e+00,4.396253429349784164e-03
3.671875000000000000e+00,3.563959055892795824e-03
3.750000000000000000e+00,2.898691501587481734e-03
3.828125000000000000e+00,2.369819354994029403e-03
3.906250000000000000e+00,1.951664999549726498e-03
3.984375000000000000e+00,1.622840548358612384e-03
4.062500000000000000e+00,1.365635418491464165e-03
4.140625000000000000e+00,1.165461869719882498e-03
4.218750000000000000e+00,1.010361391927925429e-03
4.296875000000000000e+00,8.905720418209521483e-04
4.375000000000000000e+00,7.981546687835065768e-04
4.453125000000000000e+00,7.266743786099073843e-04
4.531250000000000000e+00,6.709324976826788745e-04
4.609375000000000000e+00,6.267436490553814077e-04
4.687500000000000000e+00,5.907522650502178285e-04
4.765625000000000000e+00,5.602828699634923582e-04
4.843750000000000000e+00,5.332187069329065443e-04
4.921875000000000000e+00,5.079036956293983551e-04
5.000000000000000000e+00,4.830632381981163348e-04
