# s,dist_s
-6.000000000000000000e+00,3.219799944672888997e-10
-5.906250000000000000e+00,6.177466117675850422e-10
-5.812500000000000000e+00,1.173101132908817103e-09
-5.718750000000000000e+00,2.204977362101997247e-09
-5.625000000000000000e+00,4.102196073303163205e-09
-5.531250000000000000e+00,7.553918463657627722e-09
-5.437500000000000000e+00,1.376802892353971617e-08
-5.343750000000000000e+00,2.483789834270056816e-08
-5.250000000000000000e+00,4.435080627837053130e-08
-5.156250000000000000e+00,7.838478879286408718e-08
-5.062500000000000000e+00,1.371215343121439021e-07
-4.968750000000000000e+00,2.374231892357945092e-07
-4.875000000000000000e+00,4.068967335237163733e-07
-4.781250000000000000e+00,6.902221165746797158e-07
-4.687500000000000000e+00,1.158876450116893033e-06
-4.593750000000000000e+00,1.925879022146188129e-06
-4.500000000000000000e+00,3.167848957618557677e-06
-4.406250000000000000e+00,5.157550971819754772e-06
-4.312500000000000000e+00,8.311247013427338614e-06
-4.218750000000000000e+00,1.325660908033605964e-05
-4.125000000000000000e+00,2.092870267516612064e-05
-4.031250000000000000e+00,3.270361529514050991e-05
-3.937500000000000000e+00,5.058163009449973127e-05
-3.843750000000000000e+00,7.743431766551450300e-05
-3.750000000000000000e+00,1.173323391855377235e-04
-3.656250000000000000e+00,1.759728148149585761e-04
-3.562500000000000000e+00,2.612263796528894034e-04
-3.468750000000000000e+00,3.838239591256174029e-04
-3.375000000000000000e+00,5.582011525017506253e-04
-3.281250000000000000e+00,8.035131256357225856e-04
-3.187500000000000000e+00,1.144824251687012826e-03
-3.093750000000000000e+00,1.614463626382829078e-03
-3.000000000000000000e+00,2.253519433400792953e-03
-2.906250000000000000e+00,3.113421706853552150e-03
-2.812500000000000000e+00,4.257534629725990422e-03
-2.718750000000000000e+00,5.762647144150667179e-03
-2.625000000000000000e+00,7.720216247458268517e-03
-2.531250000000000000e+00,1.023718381722406486e-02
-2.437500000000000000e+00,1.343615905519856581e-02
-2.343750000000000000e+00,1.745473942680766596e-02
-2.250000000000000000e+00,2.244373860820627134e-02
-2.156250000000000000e+00,2.856410579436003891e-02
-2.062500000000000000e+00,3.598236150650790943e-02
-1.968750000000000000e+00,4.486444408297834280e-02
-1.875000000000000000e+00,5.536795939138185879e-02
-1.781250000000000000e+00,6.763295195196684928e-02
-1.687500000000000000e+00,8.177146294929545089e-02
-1.593750000000000000e+00,9.785629996318530310e-02
-1.500000000000000000e+00,1.159096014016172960e-01
-1.406250000000000000e+00,1.358919193572082906e-01
-1.312500000000000000e+00,1.576926501081408749e-01
-1.218750000000000000e+00,1.811226941338100749e-01
-1.125000000000000000e+00,2.059102121034713795e-01
-1.031250000000000000e+00,2.317002493007902231e-01
-9.375000000000000000e-01,2.580588246286841803e-01
-8.437500000000000000e-01,2.844818263041574147e-01
-7.500000000000000000e-01,3.104087382840671760e-01
-6.562500000000000000e-01,3.352408617802992152e-01
-5.625000000000000000e-01,3.583633245795125322e-01
-4.687500000000000000e-01,3.791698215467320110e-01
-3.750000000000000000e-01,3.970887380486270435e-01
-2.812500000000000000e-01,4.116091065885352229e-01
-1.875000000000000000e-01,4.223047613383983934e-01
-9.375000000000000000e-02,4.288551008021224686e-01
0.000000000000000000e+00,4.310610481546983674e-01
9.375000000000000000e-02,4.288551008021224686e-01
1.875000000000000000e-01,4.223047613383983934e-01
2.812500000000000000e-01,4.116091065885352229e-01
3.750000000000000000e-01,3.970887380486270435e-01
4.687500000000000000e-01,3.791698215467320110e-01
5.625000000000000000e-01,3.583633245795125322e-01
6.562500000000000000e-01,3.352408617802992152e-01
7.500000000000000000e-01,3.104087382840671760e-01
8.437500000000000000e-01,2.844818263041574147e-01
9.375000000000000000e-01,2.580588246286841803e-01
1.031250000000000000e+00,2.317002493007902231e-01
